experiment_id,run_id,repetition,student_provider,student_model,student_family,student_parameter_count,student_parameter_bucket,student_quantization,teacher_provider,teacher_model,episode_count,total_messages,student_messages,teacher_messages,total_student_attempts,start_timestamp,end_timestamp,duration_ms,termination_reason,overall_outcome,teacher_input_tokens,teacher_output_tokens,teacher_total_tokens,student_input_tokens,student_output_tokens,student_total_tokens,episode_1_assignment_id,episode_1_question_id,episode_1_duration_ms,episode_1_student_attempts,episode_1_student_turns,episode_1_teacher_turns,episode_1_total_messages,episode_1_termination_reason,episode_1_outcome,episode_1_correctness_available,episode_1_correctness_result,episode_1_attempts_to_solution,episode_1_teacher_turns_to_solution,episode_1_time_to_solution_ms,episode_2_assignment_id,episode_2_question_id,episode_2_duration_ms,episode_2_student_attempts,episode_2_student_turns,episode_2_teacher_turns,episode_2_total_messages,episode_2_termination_reason,episode_2_outcome,episode_2_correctness_available,episode_2_correctness_result,episode_2_attempts_to_solution,episode_2_teacher_turns_to_solution,episode_2_time_to_solution_ms,episode_3_assignment_id,episode_3_question_id,episode_3_duration_ms,episode_3_student_attempts,episode_3_student_turns,episode_3_teacher_turns,episode_3_total_messages,episode_3_termination_reason,episode_3_outcome,episode_3_correctness_available,episode_3_correctness_result,episode_3_attempts_to_solution,episode_3_teacher_turns_to_solution,episode_3_time_to_solution_ms
ollama_student_provider_comparison_full_v2,ollama_student_provider_comparison_full_v2_rep_1_gemma2_9b_anthropic,1,ollama,gemma2:9b,gemma2,,R3_MEDIUM_7_TO_9B,,anthropic,claude-haiku-4-5-20251001,3,87,45,42,45,2026-09-08T09:35:58.680103+00:00,2026-09-08T09:39:46.231194+00:00,228374,completed_with_unresolved_episodes,unresolved,112031,7101,119132,85442,5120,90562,4,a4_q1,44816,15,15,14,29,threshold_reached,unresolved,True,False,,,,6,a6_q3,75958,15,15,14,29,threshold_reached,unresolved,True,False,,,,7,a7_q3,107599,15,15,14,29,threshold_reached,unresolved,True,False,,,
ollama_student_provider_comparison_full_v2,ollama_student_provider_comparison_full_v2_rep_1_gemma2_9b_gemini,1,ollama,gemma2:9b,gemma2,,R3_MEDIUM_7_TO_9B,,gemini,gemini-3.5-flash-lite,3,87,45,42,45,2026-09-08T09:39:47.213383+00:00,2026-09-08T09:41:21.515758+00:00,95248,completed_with_unresolved_episodes,unresolved,68956,2448,71404,65551,2302,67853,4,a4_q1,28697,15,15,14,29,threshold_reached,unresolved,True,False,,,,6,a6_q3,29168,15,15,14,29,threshold_reached,unresolved,True,False,,,,7,a7_q3,37382,15,15,14,29,threshold_reached,unresolved,True,False,,,
ollama_student_provider_comparison_full_v2,ollama_student_provider_comparison_full_v2_rep_1_gemma2_9b_openai,1,ollama,gemma2:9b,gemma2,,R3_MEDIUM_7_TO_9B,,openai,gpt-5-mini,3,87,45,42,45,2026-09-08T09:24:31.071946+00:00,2026-09-08T09:35:57.808294+00:00,705973,completed_with_unresolved_episodes,unresolved,109774,44231,154005,96863,8126,104989,4,a4_q1,279384,15,15,14,29,threshold_reached,unresolved,True,False,,,,6,a6_q3,188855,15,15,14,29,threshold_reached,unresolved,True,False,,,,7,a7_q3,237733,15,15,14,29,threshold_reached,unresolved,True,False,,,
ollama_student_provider_comparison_full_v2,ollama_student_provider_comparison_full_v2_rep_1_gemma3_12b_anthropic,1,ollama,gemma3:12b,gemma3,,R4_LARGE_12_TO_14B,,anthropic,claude-haiku-4-5-20251001,3,74,38,36,39,2026-09-08T10:26:37.232505+00:00,2026-09-08T10:34:36.569001+00:00,501711,completed_with_unresolved_episodes,unresolved,210430,8860,219290,80244,17544,97788,4,a4_q1,274291,15,15,14,29,threshold_reached,unresolved,True,False,,,,6,a6_q3,158956,15,15,14,29,threshold_reached,unresolved,True,False,,,,7,a7_q3,68462,9,8,8,16,parse_error,unresolved,True,False,,,
ollama_student_provider_comparison_full_v2,ollama_student_provider_comparison_full_v2_rep_1_gemma3_12b_gemini,1,ollama,gemma3:12b,gemma3,,R4_LARGE_12_TO_14B,,gemini,gemini-3.5-flash-lite,3,87,45,42,45,2026-09-08T10:34:56.056376+00:00,2026-09-08T10:39:26.118089+00:00,289541,completed_with_unresolved_episodes,unresolved,142060,3108,145168,96173,11015,107188,4,a4_q1,149452,15,15,14,29,threshold_reached,unresolved,True,False,,,,6,a6_q3,68678,15,15,14,29,threshold_reached,unresolved,True,False,,,,7,a7_q3,71410,15,15,14,29,threshold_reached,unresolved,True,False,,,
ollama_student_provider_comparison_full_v2,ollama_student_provider_comparison_full_v2_rep_1_gemma3_12b_openai,1,ollama,gemma3:12b,gemma3,,R4_LARGE_12_TO_14B,,openai,gpt-5-mini,3,72,36,36,39,2026-09-08T10:14:28.923056+00:00,2026-09-08T10:26:14.849987+00:00,753992,completed_with_unresolved_episodes,unresolved,146972,38734,185706,78537,11580,90117,4,a4_q1,298324,13,12,12,24,parse_error,unresolved,True,False,,,,6,a6_q3,162739,11,10,10,20,parse_error,unresolved,True,False,,,,7,a7_q3,292928,15,14,14,28,parse_error,unresolved,True,False,,,
ollama_student_provider_comparison_full_v2,ollama_student_provider_comparison_full_v2_rep_1_gemma3_27b_anthropic,1,ollama,gemma3:27b,gemma3,,R5_XL_24_TO_30B,,anthropic,claude-haiku-4-5-20251001,3,81,42,39,42,2026-09-08T18:07:55.996299+00:00,2026-09-08T18:20:17.896172+00:00,792760,completed_with_unresolved_episodes,unresolved,170366,9103,179469,90587,15025,105612,4,a4_q1,335401,15,15,14,29,threshold_reached,unresolved,True,False,,,,6,a6_q3,223602,15,15,14,29,threshold_reached,unresolved,True,False,,,,7,a7_q3,233755,12,12,11,23,solved,solved,True,True,12,11,233755
ollama_student_provider_comparison_full_v2,ollama_student_provider_comparison_full_v2_rep_1_gemma3_27b_gemini,1,ollama,gemma3:27b,gemma3,,R5_XL_24_TO_30B,,gemini,gemini-3.5-flash-lite,3,87,45,42,45,2026-09-08T18:20:58.102589+00:00,2026-09-08T18:27:59.179219+00:00,461272,completed_with_unresolved_episodes,unresolved,130655,3379,134034,99542,8361,107903,4,a4_q1,200056,15,15,14,29,threshold_reached,unresolved,True,False,,,,6,a6_q3,104128,15,15,14,29,threshold_reached,unresolved,True,False,,,,7,a7_q3,157087,15,15,14,29,threshold_reached,unresolved,True,False,,,
ollama_student_provider_comparison_full_v2,ollama_student_provider_comparison_full_v2_rep_1_gemma3_27b_openai,1,ollama,gemma3:27b,gemma3,,R5_XL_24_TO_30B,,openai,gpt-5-mini,3,69,36,33,36,2026-09-08T17:52:33.508647+00:00,2026-09-08T18:07:05.067759+00:00,978643,completed_with_unresolved_episodes,unresolved,125180,36565,161745,72602,10035,82637,4,a4_q1,516102,15,15,14,29,threshold_reached,unresolved,True,False,,,,6,a6_q3,201745,10,10,9,19,solved,solved,True,True,10,9,201745,7,a7_q3,260795,11,11,10,21,solved,solved,True,True,11,10,260795
ollama_student_provider_comparison_full_v2,ollama_student_provider_comparison_full_v2_rep_1_gemma3_4b_anthropic,1,ollama,gemma3:4b,gemma3,,R2_SMALL_3_TO_4B,,anthropic,claude-haiku-4-5-20251001,3,87,45,42,45,2026-09-08T06:24:58.592453+00:00,2026-09-08T06:28:56.538421+00:00,246234,completed_with_unresolved_episodes,unresolved,186782,8666,195448,98431,11950,110381,4,a4_q1,98029,15,15,14,29,threshold_reached,unresolved,True,False,,,,6,a6_q3,77346,15,15,14,29,threshold_reached,unresolved,True,False,,,,7,a7_q3,70858,15,15,14,29,threshold_reached,unresolved,True,False,,,
